ID,Domain,Method,Endpoint,Backend,Auth,Purpose (verify),Request,Response fields read,Call sites,Used in files,Co-called with,Vuex side effects,Issues,Disposition,Proposed /ops/v3 endpoint,Owner,Status,Notes
A-058,Customers,POST,operations/getCustomerList,v2 · glacier.on-track.in/api,Bearer agentToken,"Submits Customer List — called from getCustomerData(), getCustomerList()","query: limit · body: customerId, paymentStatus, searchTerm, status","{ count, rows }; row: id, fName, lName, mobile, email, blacklist, absconding, status (numeric, no enum) — row shape CONFIRMED live 2026-09-07",3,views/customers/customerList.vue | views/customers/viewCustomer.vue,,,POST used for a read,Migrated,POST operations/getCustomerList (unchanged),,Done (Phase 2 — Customers list),"Ported to ontrack-ops-v3 src/services/customers/customers.api.js + src/stores/customers.store.js + src/pages/customers/CustomersPage.vue. Only searchTerm wired (customerId/paymentStatus/status are viewCustomer.vue concerns, not the list page)."
A-059,Customers,POST,searchCustomer,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits Customer — called from get_customerbyname(),(none detected),data (raw),2,store.js | store/modules/booking.js,,"commits: GET_CX_BY_NUM, LOADING_API",LEGACY backend; POST used for a read; raw response.data consumed (no envelope),,,,Not started,
A-060,Customers,GET,searchCustomer/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches Customer — called from fetchCustomer(),(none detected),"(not read, or read indirectly)",1,components/createBooking.vue,,,,Migrated,GET searchCustomer/:id (unchanged),,"Done (Phase 1 — Create booking, Manual)","Ported to src/services/bookings/createBooking.api.js::searchCustomerByPhone(), used by CreateBookingManualPage.vue. CONFIRMED live 2026-09-07 — real customer (""Rohit Kumar"", 7079812442) returned correctly. Confirmed v2 (not the near-identical LEGACY A-059 sibling with a different real caller)."
A-061,Documents,POST,/otr_vault/upload-document,v2 · glacier.on-track.in/api,Bearer agentToken,Submits upload-document — called from uploadImage(),body: <formData> (variable — inspect at runtime),data.image_path,2,pages/createModel.vue | pages/createVehicle.vue,,,,,,,Not started,
A-062,Extensions,GET,/operations/extension/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches extension — called from onRowClick(),(none detected),"(not read, or read indirectly)",1,components/v2/extensionList.vue,,,,Migrated,GET /operations/extension/:id (unchanged),,Done (Phase 1 — Booking detail),"Ported to extensions.api.js::fetchExtensionDetail(), used by ExtensionTab.vue row-click dialog. Not exercised live this session (no extension rows existed on the tested booking)."
A-063,Extensions,GET,/operations/extensionPayments,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches extension Payments — called from loadData(),"query: bookingId, customerId, limit, offset","(not read, or read indirectly)",2,components/customers/extensionHistory.vue | components/v2/extensionList.vue,,,,Migrated,GET /operations/extensionPayments (unchanged),,Done (Phase 1 — Booking detail),"Ported to extensions.api.js::fetchExtensions(), used by ExtensionTab.vue. CONFIRMED live 2026-09-07 — { rows, count } envelope matches, empty result set for the tested booking."
A-064,Extensions,POST,create-extension-payment-link-cf,v2 · glacier.on-track.in/api,Bearer agentToken,Submits -extension-payment-link-cf — called from sendPaymentLinkCashFree(),body: extendId,"(not read, or read indirectly)",1,components/ExtendBookingPaymentMethods.vue,,,,Migrated,POST create-extension-payment-link-cf (unchanged),,Done (Phase 1 — Extend booking),"Ported to extendBooking.api.js::sendExtendPaymentLinkCashfree(), used by ExtendBookingPaymentPage.vue. Not exercised live this session (mutating)."
A-065,Extensions,POST,operations/booking/extend/calculate,v2 · glacier.on-track.in/api,Bearer agentToken,Submits calculate — called from calculatePayment(),body: <obj> (variable — inspect at runtime),"data (raw), data.message",1,components/ExtendBookingv2.vue,,,,Migrated,POST operations/booking/extend/calculate (unchanged),,Done (Phase 1 — Extend booking),"Ported to extendBooking.api.js::calculateExtend(), used by ExtendBookingPage.vue. CONFIRMED live 2026-09-07 — real overdue-day calculation, pricing breakdown, and WEEKLY-plan conditional (day slider hidden) all matched the old app exactly."
A-066,Extensions,POST,operations/booking/extend/create-order,v2 · glacier.on-track.in/api,Bearer agentToken,Submits -order — called from createOrder(),body: <this.extendResponse> (variable — inspect at runtime),"(not read, or read indirectly)",1,components/ExtendBookingv2.vue,,,,Migrated,POST operations/booking/extend/create-order (unchanged),,Done (Phase 1 — Extend booking),Ported to extendBooking.api.js::createExtendOrder(). Not exercised live this session (mutating).
A-067,Extensions,POST,operations/booking/extend/send-payment-link,v2 · glacier.on-track.in/api,Bearer agentToken,Submits send-payment-link — called from sendPaymentLink(),body: extendId,"(not read, or read indirectly)",1,components/ExtendBookingPaymentMethods.vue,,,,Migrated,POST operations/booking/extend/send-payment-link (unchanged),,Done (Phase 1 — Extend booking),"Ported to extendBooking.api.js::sendExtendPaymentLink(), used by ExtendBookingPaymentPage.vue. Not exercised live this session (mutating)."
A-068,Extensions,GET,operations/extension/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches extension — called from getExtensionDetails(),(none detected),"data (raw), data.message",1,components/ExtendBookingPaymentMethods.vue,,,,Migrated,GET operations/extension/:id (unchanged),,Done (Phase 1 — Extend booking),Reused extensions.api.js::fetchExtensionDetail() (already ported for the Booking Detail Extension tab) for ExtendBookingPaymentPage.vue. Not exercised live this session for this specific screen.
A-069,External / Google,GET,https://maps.googleapis.com/maps/api/geocode/json,bare axios · absolute URL,None,Fetches json — called from getLocation(),"query: key, latlng","(not read, or read indirectly)",1,components/profile.vue,,,"bypasses shared client (absolute URL, no interceptor, no 401 handling)",Migrated,"GET https://maps.googleapis.com/maps/api/geocode/json (unchanged — external, not an ops backend endpoint)",,Done (Phase 1),"Ported to src/services/geocode.js::reverseGeocode(), called from src/stores/attendance.store.js before punch in/out. Still a deliberate bare external call (not through v2Client — this is a direct Google API call, not an ops backend endpoint). Requires VITE_GOOGLE_MAPS_API_KEY; fails soft (returns null place) rather than blocking punch in/out if the key is missing or the call fails."
A-070,Fines & Violations,POST,violations/find,v2 · glacier.on-track.in/api,Bearer agentToken,Submits find — called from getTrafficViolation(),body: bookingId,data (raw),1,store.js,,"commits: LOADING_API, TRAFFIC_VIOLATION_DATA",raw response.data consumed (no envelope),Migrated (fixed),POST /ops/v3/bookings/:id/traffic-violations,,Done,"Ported to endBooking.api.js::fetchTrafficViolations(). BUG FOUND & NOT REPLICATED: old app's getTrafficViolation Vuex action overrides this v2 call's Authorization header with a hardcoded LEGACY Basic-auth constant, despite this being a documented Bearer-token endpoint — looks like a copy-paste artifact, not a real requirement. New code uses standard v2Client Bearer auth."
A-071,GPS & Tracking,POST,//https://api.on-track.in/api/vehicle,bare axios · absolute URL,None,Submits vehicle — called from modelchange(),"query: location, model · body: Authorization, https",data (raw),1,components/assignVehicle.vue,,,"bypasses shared client (absolute URL, no interceptor, no 401 handling); malformed URL (double/triple slash); raw response.data consumed (no envelope)",,,,Not started,
A-072,GPS & Tracking,GET,/operations/vehicle/current-location,v2 · glacier.on-track.in/api,Bearer agentToken,"Live GPS position of one vehicle, polled for the vehicle detail map — called from fetchLocation()",query: registrationNumber,"{ data: [ { vehicleNumber, vehicleId, lat, lng, movementStatus, speed, ignition, orientation, lastUpdated, batteryValue, batteryUnit, totalSatellites } ] }; empty data = no tracking — CONFIRMED live 2026-09-23 (KA01AU4527)",1,components/vehicles/gpsTracker.vue,,,,Migrated,GET /operations/vehicle/current-location (unchanged),,Done (Vehicle detail — live location),"Ported to vehicleDetail.api.js::fetchCurrentLocation() (skipGlobalLoading, since it polls), used by components/vehicles/detail/VehicleLiveLocation.vue on the vehicle detail page. Polls every 120s when STOPPED, 20s otherwise (same as old app), with one timer cleared on unmount. The old app read speed_unit, which this response does not contain."
A-073,GPS & Tracking,POST,/toggleGpsStatus/vehicle/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Submits vehicle — called from changeGpsStatus(),"body: gps, gps_vendor","(not read, or read indirectly)",2,components/Recovery/VehicleView.vue | views/vehicles/vehicleDetails.vue,,  dispatches: get_vehicle_by_id,,Migrated (as-is),POST /ops/v3/vehicles/:id/gps,,Done (Phase 2 — Vehicle detail),"Ported to vehicleDetail.api.js::toggleGpsStatus(). Old app sends a hardcoded admin Basic-auth header override on BOTH of its independent call sites (vehicleDetails.vue and Recovery/VehicleView.vue) — unlike the single-anomalous-caller pattern found on A-070 (judged a copy-paste bug, not replicated), this consistent 2-site pattern was judged a genuine backend requirement and IS replicated as-is (v2Client.js gained a small opt-out so a caller can pre-set Authorization to skip the usual Bearer token). Flagged as an ASSUMPTION pending a real backend check. Response also revealed the real `vehicleGps`-equivalent field: top-level boolean `gps` (plus `gpsVendorId`, a numeric FK the old app never actually used to pre-select its vendor dropdown, defaulting it to a hardcoded 1 instead — also fixed)."
A-074,GPS & Tracking,GET,gps/vendor,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches vendor — called from getGpsVendors(),body: <payload> (variable — inspect at runtime),"(not read, or read indirectly)",1,store.js,GET  | GET tickets/:id,,,Migrated (as-is),GET /ops/v3/gps-vendors,,Done (Phase 2 — Vehicle detail),"Ported to vehicleDetail.api.js::fetchGpsVendors(), used by SettingsTab.vue's Change GPS Status dialog vendor picker."
A-075,GPS & Tracking,POST,https://api.on-track.in/api/createActivity,bare axios · absolute URL,None,"Submits Activity — called from createAgentActivity(), createAgentActivityafterCancel(), createBooking()","body: agentId, bookingId, description, name, type","(not read, or read indirectly)",3,components/allbookingdetails.vue | components/assignVehicle.vue | components/createBooking.vue,POST https://api.on-track.in/api/booking/:id | POST https://api.on-track.in/api/flagActiveToRepute | POST https://api.on-track.in/api/sendConfirmationEmail | POST https://api.on-track.in/api/vehicle/:id,,"bypasses shared client (absolute URL, no interceptor, no 401 handling); called from 3 files",,,,Not started,
A-076,GPS & Tracking,POST,https://api.on-track.in/api/flagActiveToRepute,bare axios · absolute URL,None,Submits flag Active To Repute — called from createBooking(),"body: bookingId, customerId, null, pickupDateTime, registrationNumber, status","(not read, or read indirectly)",1,components/assignVehicle.vue,POST https://api.on-track.in/api/booking/:id | POST https://api.on-track.in/api/createActivity | POST https://api.on-track.in/api/sendConfirmationEmail | POST https://api.on-track.in/api/vehicle/:id,,"bypasses shared client (absolute URL, no interceptor, no 401 handling)",,,,Not started,
A-077,GPS & Tracking,POST,https://api.on-track.in/api/sendConfirmationEmail,bare axios · absolute URL,None,Submits send Confirmation Email — called from createBooking(),body: id,"(not read, or read indirectly)",1,components/assignVehicle.vue,POST https://api.on-track.in/api/booking/:id | POST https://api.on-track.in/api/createActivity | POST https://api.on-track.in/api/flagActiveToRepute | POST https://api.on-track.in/api/vehicle/:id,,"bypasses shared client (absolute URL, no interceptor, no 401 handling)",,,,Not started,
A-078,GPS & Tracking,POST,https://api.on-track.in/api/vehicle/:id,bare axios · absolute URL,None,Submits vehicle — called from createBooking(),body: status,"(not read, or read indirectly)",1,components/assignVehicle.vue,POST https://api.on-track.in/api/booking/:id | POST https://api.on-track.in/api/createActivity | POST https://api.on-track.in/api/flagActiveToRepute | POST https://api.on-track.in/api/sendConfirmationEmail,,"bypasses shared client (absolute URL, no interceptor, no 401 handling)",,,,Not started,
A-079,GPS & Tracking,POST,https://api.on-track.in/api/vehicle/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Submits vehicle — called from changingInsurance(),"body: InsurancePolicy, insuranceDate, nextInsuranceDate","(not read, or read indirectly)",2,components/Recovery/VehicleView.vue | views/vehicles/vehicleDetails.vue,POST https://api.on-track.in/api/booking/:id | POST https://api.on-track.in/api/createActivity | POST https://api.on-track.in/api/flagActiveToRepute | POST https://api.on-track.in/api/sendConfirmationEmail,  dispatches: get_vehicle_by_id,,,,,Not started,
A-080,GPS & Tracking,GET,https://glacier.on-track.in/api/otr_dealer,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Fetches otr dealer — called from get_otr_dealers(),(none detected),data (raw),2,store.js | store/modules/booking.js,,"commits: GET_OTR_DEALERS, LOADING_API",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-081,GPS & Tracking,POST,https://glacier.on-track.in/api/send/notification,bare axios · absolute URL,None,Submits notification — called from pushNotification(),"body: channel, content, event, message","(not read, or read indirectly)",1,components/assignVehicle.vue,,,"bypasses shared client (absolute URL, no interceptor, no 401 handling)",,,,Not started,
A-082,KM Billing,GET,/operations/bills/:id/mark-paid,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches mark-paid — called from markAsPaid(),"query: comment, paymentId, source","(not read, or read indirectly)",1,components/payments&others/kmlogs.vue,,,,Migrated,GET /operations/bills/:id/mark-paid (unchanged),,Done (Phase 1 — Booking detail),"Ported to kmBills.api.js::markKmBillPaid(), used by KmBillsTab.vue. Not exercised live this session (mutating)."
A-083,KM Billing,GET,/operations/km-logs/bill,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches bill — called from fetchBills(),query: bookingId,"(not read, or read indirectly)",1,components/payments&others/kmlogs.vue,,,,Migrated,GET /operations/km-logs/bill (unchanged),,Done (Phase 1 — Booking detail),"Ported to kmBills.api.js::fetchKmBills(), used by KmBillsTab.vue. Not exercised live this session."
A-084,KM Billing,POST,/operations/km-logs/bill,v2 · glacier.on-track.in/api,Bearer agentToken,Submits bill — called from generateBill(),body: <payload> (variable — inspect at runtime),"(not read, or read indirectly)",1,components/payments&others/kmlogs.vue,,,,Migrated,POST /operations/km-logs/bill (unchanged),,Done (Phase 1 — Booking detail),Bill-generation endpoint documented in kmBills.api.js; the old app's bill-generation UI (selectable KM logs) was dead code (never rendered) so it was not ported — only the Bills list + mark-paid flow was.
A-085,KM Billing,POST,/operations/km-logs/bills/:id/create-pending,v2 · glacier.on-track.in/api,Bearer agentToken,Submits -pending — called from createPendingBill(),(none detected),"(not read, or read indirectly)",1,components/PendingKmBills.vue,,,,Migrated (as-is),POST /ops/v3/bookings/:id/km-bills/create-pending,,Done,"Ported to endBooking.api.js::createPendingKmBill(), used by PendingKmBillsStep.vue (End Booking Step 1)."
A-086,KM Billing,GET,/operations/km-logs/bills/:id/pending-summary,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches pending-summary — called from loadPending(),(none detected),data.pending,1,components/PendingKmBills.vue,,,,Migrated (as-is),GET /ops/v3/bookings/:id/km-bills/pending-summary,,Done,"Ported to endBooking.api.js::fetchPendingKmBills(), response { pending: [...] } confirmed live 2026-09-07 against an active EV booking (L26I0141411) — ""No pending KM Bill."" rendered correctly."
A-087,Lessors,GET,/lessor,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches lessor — called from fetchLessors(),(none detected),data (raw),1,pages/Vehicle/AddVehicle.vue,,,raw response.data consumed (no envelope),,,,Not started,
A-088,Lessors,POST,/operations/create/lessor,v2 · glacier.on-track.in/api,Bearer agentToken,Submits lessor — called from createLessor(),body: <payload> (variable — inspect at runtime),"data (raw), data.message",2,components/LessorForm.vue | pages/createLessor.vue,,,,,,,Not started,
A-089,Lessors,GET,/rentals/operations/lessors,v2 · glacier.on-track.in/api,Bearer agentToken,"Fetches lessors — called from fetchLessors(), loadLessor()",(none detected),"(not read, or read indirectly)",6,components/LessorList.vue | components/bookings.vue | components/stockCount.vue | views/DownloadCenter.vue | views/vehicles/stats.vue | views/vehicles/vehiclesList.vue,,,called from 6 files,Migrated (as-is),GET /ops/v3/lessors,,Done (Phase 2 — Vehicles list filters),"Ported to vehicles.api.js::fetchLessorOptions(), used by VehiclesPage.vue's Lessor filter. Response is a bare array, confirmed live 2026-09-07."
A-090,Loyalty,GET,/operations/points-ledger,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches points-ledger — called from loadData(),"query: customerId, limit, offset","(not read, or read indirectly)",1,components/customers/pointsHistory.vue,,,,,,,Not started,
A-091,Master data,GET,/locations,v2 · glacier.on-track.in/api,Bearer agentToken,"Fetches locations — called from getBookingData(), nextBillingDate()",(none detected),"(not read, or read indirectly)",2,components/UpdateDeliveryTypeModal.vue | components/bookingForm.vue,POST /operations/getBookings,,no pagination params,,,,Not started,
A-092,Master data,GET,/operations/:id/locations/list,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches list — called from getModelLocations(),(none detected),"(not read, or read indirectly)",1,components/UpdateDeliveryTypeModal.vue,,,no pagination params,,,,Not started,
A-093,Master data,GET,/operations/locations/list,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches list — called from openUpdateLocationModal(),(none detected),"(not read, or read indirectly)",1,views/vehicles/vehicleDetails.vue,,,no pagination params,Migrated (as-is),GET /ops/v3/locations,,Done (Phase 2 — Vehicle detail),"Ported to vehicleDetail.api.js::fetchVehicleLocations(), used by SpecsTab.vue's ""Update Location"" picker."
A-094,Master data,GET,getDeliveryCharge,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches Delivery Charge — called from getDeliveryCharges(),(none detected),data (raw),1,store.js,,"commits: GET_DELIVERY_CHARGES, LOADING_API",raw response.data consumed (no envelope),Migrated,GET getDeliveryCharge (unchanged),,"Done (Phase 1 — Create booking, Manual)","Ported to createBooking.api.js::fetchDeliveryCharges(), used by the Manual flow's delivery-charge line item. Not exercised live this session (only reachable when Doorstep Delivery is toggled on)."
A-095,Master data,GET,getDeliveyCharge,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Fetches Delivey Charge — called from getDeliveryCharges(),(none detected),data (raw),1,store/modules/booking.js,,"commits: GET_DELIVERY_CHARGES, LOADING_API",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-096,Master data,GET,getLocations,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches Locations — called from getLocations(),(none detected),data (raw),1,store.js,,"commits: BG_COLOR, GET_LOCATIONS, LOADING_API, SET_THEME, SET_USER",no pagination params; raw response.data consumed (no envelope),,,,Not started,
A-097,Master data,GET,getLocations,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Fetches Locations — called from getLocations(),(none detected),data (raw),1,store/modules/booking.js,,"commits: BG_COLOR, GET_LOCATIONS, LOADING_API, SET_THEME, SET_USER",LEGACY backend; no pagination params; raw response.data consumed (no envelope),,,,Not started,
A-098,Master data,POST,getTimeSlotByDate,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits Time Slot By Date — called from get_timeSlot(),body: date,data (raw),2,store.js | store/modules/booking.js,,"commits: GET_TIME_SLOT, LOADING_API",LEGACY backend; POST used for a read; raw response.data consumed (no envelope),,,,Not started,
A-099,Master data,GET,getVendor,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Fetches Vendor — called from get_customers(),(none detected),"(not read, or read indirectly)",2,store.js | store/modules/booking.js,,"commits: GET_CX, LOADING_API",LEGACY backend,,,,Not started,
A-100,Master data,GET,locations,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches locations — called from getLocations(),(none detected),"bare array of location records: id, name, address, latitude/langitude, state, city, pinCode, status, mapUrl, isDeliveryAvailableFromThisLocation — CONFIRMED live 2026-09-07",4,components/ModelsList.vue | components/bookings.vue | components/newBookings.vue | views/vehicles/vehiclesList.vue,,,called from 4 files; no pagination params,Migrated,GET locations (unchanged),,Done (Phase 2 — Home location filter),"Ported to ontrack-ops-v3 src/services/home/home.api.js::fetchLocations(), used to populate the Home page's location filter dropdown."
A-101,Master data,GET,merchandise/get,v2 · glacier.on-track.in/api,Bearer agentToken,"Fetches get — called from fetchAddons(), prepareCreateBooking()",(none detected),"(not read, or read indirectly)",2,components/bookingForm.vue | components/createBooking.vue,,,,Migrated,GET merchandise/get (unchanged),,"Done (Phase 1 — Create booking, Dynamic)","Ported to createBooking.api.js::fetchAddons(), used by CreateBookingDynamicPage.vue's addon picker (the Manual flow's equivalent fetch is dead code in the old app — deliberately not ported there, see A-124 notes). Not exercised live this session."
A-102,Models & Inventory,POST,/api/models,bare axios · absolute URL,None,Submits models — called from onSubmit(),body: <this.model> (variable — inspect at runtime),"(not read, or read indirectly)",1,pages/createModel.vue,,,"bypasses shared client (absolute URL, no interceptor, no 401 handling)",,,,Not started,
A-103,Models & Inventory,GET,/model/:id/locations/list,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches list — called from fetchModelLocations(),(none detected),"(not read, or read indirectly)",1,components/bookingForm.vue,,,no pagination params,Migrated,GET /operations/:id/locations/list (unchanged),,Done (Phase 1 — Booking detail),"Ported to bookingDetail.api.js::fetchModelLocations(), used by UpdateDeliveryTypeDialog.vue. Not exercised live this session."
A-104,Models & Inventory,GET,/models/stock,v2 · glacier.on-track.in/api,Bearer agentToken,"Per-model stock counts + embedded modelData, optionally filtered by location — called from loadModels()",query: location (optional),"bare array; entry: total, available, booked, underService, not_working, ongoingUnderService, underWaterWash, returned, model + embedded modelData (id, name, image300, price, old_price, show) — CONFIRMED live 2026-09-23 (?location=1)",1,components/ModelsList.vue,,,no pagination params; raw response.data consumed (no envelope),Migrated,GET /models/stock (unchanged),,Done (Phase 1 — Assign vehicle; Model List page),"Ported to assignVehicle.api.js::fetchModelsStock(), used for the model picker. CONFIRMED live 2026-09-07 — real model name (""Honda Shine 2026"") rendered correctly. Also ported to models/models.api.js::fetchModelsStock({ location }) for the /models page (ModelsPage.vue)."
A-105,Models & Inventory,POST,/operations/create/model,v2 · glacier.on-track.in/api,Bearer agentToken,Submits model — called from createModel(),body: <payload> (variable — inspect at runtime),"data (raw), data.message",1,pages/createModel.vue,,,,,,,Not started,
A-106,Models & Inventory,GET,/operations/getModelList,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches Model List — called from fetchModels(),(none detected),data (raw),1,pages/Vehicle/AddVehicle.vue,,,raw response.data consumed (no envelope),,,,Not started,
A-107,Models & Inventory,GET,/operations/models,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches models — called from fetchModels(),(none detected),"(not read, or read indirectly)",3,components/bookings.vue | pages/createVehicle.vue | views/vehicles/vehiclesList.vue,,,called from 3 files,Migrated (as-is),GET /ops/v3/models,,Done (Phase 2 — Vehicles list filters),"Ported to vehicles.api.js::fetchModelOptions(), used by VehiclesPage.vue's Model filter. Response `{ rows, count }` confirmed live 2026-09-07."
A-108,Models & Inventory,GET,/operations/models/inventory,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches inventory — called from saveToLocalStorage(),"query: lessor, searchQuery",data (raw),1,components/stockCount.vue,,,raw response.data consumed (no envelope),,,,Not started,
A-109,Models & Inventory,GET,/operations/models/inventory/stats,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches stats — called from getVehicleCount(),(none detected),"{ data: [...], count }; each entry { count, filter_tag, label, abbr_label, status, percentage } — CONFIRMED live 2026-09-07",1,components/homepage-content.vue,,"  dispatches: authLogout, bg_color",,Migrated,GET /operations/models/inventory/stats (unchanged),,Done (Phase 2 — Home stat strip),Ported to ontrack-ops-v3 src/services/home/home.api.js::fetchInventoryStats() + src/pages/dashboard/HomePage.vue. Renders every data[] entry as-is (no filtering/slicing) in a horizontally-scrollable strip.
A-110,Models & Inventory,PUT,/operations/models/update/:id,v2 · glacier.on-track.in/api,Bearer agentToken,"Updates a model's show flag, rental price and extension (old) price — called from onSubmit()","body: old_price, price, show","data (raw), data.error, data.message",1,components/ModelsList.vue,,,,Migrated,PUT /operations/models/update/:id (unchanged),,Done (Model List page),"Ported to models/models.api.js::updateModel(), used by the edit dialog on /models (ModelsPage.vue). error: 1 in the response is thrown as an Error. Not yet exercised live."
A-111,Models & Inventory,GET,/operations/vehicle/report/vehicle-count-by-model,v2 · glacier.on-track.in/api,Bearer agentToken,"Per-model in-stock/booked/total vehicle counts, optionally per lessor — called from loadVehicleData()",query: lessor (optional),"object keyed by model name; each { inStock, booked, total } — CONFIRMED live 2026-09-23",1,views/reports/VehicleCountsByModel.vue,,,raw response.data consumed (no envelope),Migrated,GET /operations/vehicle/report/vehicle-count-by-model (unchanged),,Done (Inventory Utilisation Report),"Ported to reports/vehicleReport.api.js::fetchCountByModel(); rendered on /vehicleStats (VehicleStatsPage.vue) as a stacked booked/in-stock bar per model with utilisation, replacing the old grouped In Stock/Rented/Total chart."
A-112,Models & Inventory,GET,getModels,LEGACY · api.on-track.in/api,Static Basic (hardcoded),"Fetches Models — called from get_models(), get_vehicle_count()",(none detected),data (raw),3,store.js | store/modules/booking.js,GET models/stock,"commits: GET_MODELS, GET_REMINDER, GET_REMINDER_COUNT, LOADING_API, VEHICLE_COUNT",LEGACY backend; no pagination params; raw response.data consumed (no envelope),,,,Not started,
A-113,Models & Inventory,GET,https://glacier.on-track.in/api/otr_models,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Fetches otr models — called from get_otr_model(),(none detected),data (raw),2,store.js | store/modules/booking.js,,"commits: GET_OTR_MODELS, LOADING_API",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-114,Models & Inventory,GET,https://glacier.on-track.in/api/otr_models/:id,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Fetches otr models — called from get_otr_model_by_id(),(none detected),data (raw),2,store.js | store/modules/booking.js,,"commits: GET_OTR_MODELS_BY_ID, LOADING_API",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-115,Models & Inventory,GET,models/stock,v2 · glacier.on-track.in/api,Bearer agentToken,"Fetches stock — called from fetchModels(), getModels(), get_models()",(none detected),"data (raw), data.message",3,components/assignVehicle2.vue | components/bookingForm.vue | store.js,GET getModels,"commits: GET_MODELS, GET_REMINDER, GET_REMINDER_COUNT, LOADING_API",called from 3 files; no pagination params; raw response.data consumed (no envelope),,,,Not started,
A-116,Models & Inventory,GET,operations/getModels,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches Models — called from getModelById(),query: model_id,data (raw),1,store.js,,"commits: GET_OTR_MODELS, LOADING_API",no pagination params; raw response.data consumed (no envelope),,,,Not started,
A-117,Notifications,POST,readNotes,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits read Notes — called from notes(),(none detected),data (raw),2,store.js | store/modules/booking.js,,"commits: GET_NOTES, LOADING_API",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-118,Payments,POST,/create-order-payment-link-cf,v2 · glacier.on-track.in/api,Bearer agentToken,Submits -order-payment-link-cf — called from sendPaymentLinkCashfree(),body: bookingId,"data (raw), data.message",1,pages/paymentMethods.vue,,,,Migrated (as-is),POST /ops/v3/bookings/:id/payment-link/cashfree,,Done (Phase 1 — Booking payment methods),"Ported to bookingPayment.api.js::sendBookingPaymentLinkCashfree(), used by BookingPaymentPage.vue. Not exercised live this session (mutating)."
A-119,Payments,GET,/operations/collectionPayments,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches collection Payments — called from loadData(),"query: customerId, limit, offset","(not read, or read indirectly)",2,components/customers/collectionHistory.vue | components/v2/collectionList.vue,,,,Migrated,GET /operations/collectionPayments (unchanged),,Done (Phase 1 — Booking detail),"Ported to collections.api.js::fetchCollections(), used by PaymentsTab.vue. CONFIRMED live 2026-09-07 — envelope matches, empty result set for the tested booking. Extended for Phase 2 (Vehicle detail): fetchCollections() now also accepts a `vehicleId` scope (sends `vehicle` param instead of `bookingId`, matching the old app's collectionList.vue prop pair) — used read-only by VehicleCollectionTab.vue. The old app's ""Add Collection"" action on that same shared component always posts against `bookingId` even in vehicle-only scope (would send an undefined booking id) — not replicated; the vehicle-scoped tab is list-only."
A-120,Payments,GET,/operations/collections/export-reports,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches export-reports — called from exportCollectionsCSV(),"query: endDate, startDate",data (raw),1,views/reports/ReportsV2.vue,,,raw response.data consumed (no envelope),,,,Not started,
A-121,Payments,GET,/operations/collections/report,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches report — called from fetchTableData(),"query: fromDate, limit, onlyVerified, toDate","(not read, or read indirectly)",1,views/reports/ReportsV2.vue,,,,,,,Not started,
A-122,Payments,GET,/operations/collections/report-meta,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches report-meta — called from fetchMeta(),"query: fromDate, onlyVerified, toDate","(not read, or read indirectly)",1,views/reports/ReportsV2.vue,,,,,,,Not started,
